date,macro_score,liquidity_score,valuation_score,sentiment_score,composite_score
2017-04-01,99.99999999999996,76.26908325305541,69.51517094050124,65.829290837704,79.61192171592995
2017-04-02,99.99999999999996,73.60668523188623,56.055343268832246,75.12769698286696,77.441046521753
2017-04-03,99.99999999999996,89.60189191073482,65.79677616050493,55.07104493062971,79.86387600393587
2017-04-04,99.99999999999996,73.48716901038063,66.5209524365515,50.561688670559306,75.11436809584488
2017-04-05,99.99999999999996,83.12358890489672,73.46268837256895,56.13397146729937,80.37336361282628
2017-04-06,99.99999999999996,83.3678981604265,69.97403482540878,56.0810490588348,79.55169305822577
2017-04-07,99.99999999999996,78.40048894438512,63.254118354658594,63.54288376663405,78.12222857808773
2017-04-08,99.99999999999996,80.37597231256751,70.58968046705125,61.530793670309556,80.04757192896659
2017-04-09,99.99999999999996,83.68818826538734,75.5319150201624,53.34758506686623,80.47454283476067
2017-04-10,99.99999999999996,78.63904963915958,54.42994405608614,58.2378140392862,74.91481123166865
2017-04-11,99.99999999999996,92.49642758814338,53.323633456393935,80.19736261122694,82.49448778337971
2017-04-12,99.99999999999996,85.25283498348344,63.15909179630263,54.054224470613654,77.91382658906923
2017-04-13,99.99999999999996,89.99879943829015,76.1725984973652,62.88896925620404,84.12064333515464
2017-04-14,99.99999999999996,88.01234539482637,62.547676242200396,53.801591706269186,78.40032375051051
2017-04-15,99.99999999999996,74.4548852997615,62.002529246432374,49.450483000483175,74.0044502366451
2017-04-16,99.99999999999996,81.41072550189867,70.36100341376684,60.51695601614815,80.046323432146
2017-04-17,99.99999999999996,78.5861530343119,63.2930305542138,57.832013325306356,77.03619856219268
2017-04-18,99.99999999999996,84.83629794301254,75.58696428133196,73.33262360387941,84.772340276862
2017-04-19,99.99999999999996,86.6044343665127,63.18017097248309,56.77642356048157,78.80143604684525
2017-04-20,99.99999999999996,86.06164317746295,80.70783262903299,63.780026714345546,84.44837429449308
2017-04-21,99.99999999999996,74.39378852770561,60.73158720900531,72.89671544238946,78.36068702265561
2017-04-22,99.99999999999996,84.21488537505633,70.77171219017295,64.50688042660853,81.64802547662902
2017-04-23,99.99999999999996,81.59220581228183,70.18510808567665,53.3162353816408,78.60757555081777
2017-04-24,99.99999999999996,86.02542127007881,68.37085791489454,68.6890528620799,82.33688036865931
2017-04-25,99.99999999999996,77.97169604506976,70.47298474128465,60.701392804523216,79.25144875749324
2017-04-26,99.99999999999996,80.9079962818737,51.53203496300415,73.33880915478818,77.77776964217708
2017-04-27,99.99999999999996,78.83761424724665,74.1024380369473,67.3300576689151,81.70102460483149
2017-04-28,99.99999999999996,75.62893960040961,54.01334894790978,58.66820772664156,74.14421368240815
2017-04-29,99.99999999999996,78.49558605057523,78.89015689029301,68.77933234716014,83.10230220464908
2017-04-30,99.99999999999996,82.12304512318127,89.80453058639624,62.00817981939332,85.38352989127303
2017-05-01,99.99999999917004,71.31703760597699,64.67820065730479,70.64479846491172,78.1277692585538
2017-05-02,99.99999999917004,79.9067341664818,71.75973195127787,72.57056097964119,82.43072872511915
2017-05-03,99.99999999917004,76.56390108075885,67.68662285210459,64.21583018869285,78.90579702070545
2017-05-04,99.99999999917004,75.22596716458284,59.94774767972777,39.86961688849528,71.76735208852772
2017-05-05,99.99999999917004,79.09136303679888,73.44442979395211,49.538143117622084,78.04157683096318
2017-05-06,99.99999999917004,76.85691265933919,66.69292807468844,61.34975739533595,78.1574116623251
2017-05-07,99.99999999917004,77.26248866746292,71.8550727267607,38.235653754972496,74.92652109930143
2017-05-08,99.99999999917004,90.85371485036076,79.363572085749,58.00180041235366,84.15468181624918
2017-05-09,99.99999999917004,83.17374834112219,58.72342879640051,60.90703564877242,77.65570141388618
2017-05-10,99.99999999917004,71.0282803905898,90.90076015782037,44.319395568006314,79.34613925045481
2017-05-11,99.99999999917004,87.15099145845912,59.51128781785701,77.68530550721081,82.20263092027221
2017-05-12,99.99999999917004,74.13961318383664,74.87296963798964,51.25964993246267,77.50507569170011
2017-05-13,99.99999999917004,78.73609929991842,75.26587657685528,68.88774979695593,82.27804392833562
2017-05-14,99.99999999917004,77.8561471419942,79.46824000725593,55.985261657935126,80.52814911865057
2017-05-15,99.99999999917004,80.59926751116679,72.54242133923412,56.404204978658626,79.56626320808296
2017-05-16,99.99999999917004,86.30598359984906,80.14981329397665,57.27224270126033,83.0683977634595
2017-05-17,99.99999999917004,80.02796153580013,70.20236346542322,57.53830161986107,79.06524157402906
2017-05-18,99.99999999917004,74.1024223249223,49.35713600875017,54.66465136026219,71.79781985522158
2017-05-19,99.99999999917004,81.83685736834796,71.70909679251059,56.6588267345977,79.7182538868852
2017-05-20,99.99999999917004,79.87623768440163,69.43139657981722,70.18644737370562,81.36419804054685
2017-05-21,99.99999999917004,85.33930040920966,65.68751662686324,62.732670318077396,80.30323832238473
2017-05-22,99.99999999917004,78.94660125618084,71.1779868172186,72.28074038358379,81.98729509481763
2017-05-23,99.99999999917004,80.04112781668194,66.65665550794573,73.29755433374024,81.33395669765598
2017-05-24,99.99999999917004,88.22948836673856,66.63109972724283,60.35580991720248,80.78630900668685
